být	be
zvýšený	increased
lístek	ticket
váha	weight
linie	line
vteřina	second
rozhodující	critical
zásoba	supply
vítěz	winner
označovat	branding
revoluce	revolution
prospěch	benefit
společenství	community
jakoby	though
ekologický	ecological
láhev	bottle
letecký	air
trvalý	permanent
přistoupit	accede
elektřina	electricity
trend	trend
připojit	connect
domek	house
vařit	cook
vinný	guilty
výdaj	expenditure
obchodník	businessman
obtížný	difficult
motiv	motif
plnit	perform
kdykoliv	anytime
pojetí	conception
omezit	limit
šťáva	juice
zažít	experience
vzor	pattern
stoupat	rise
slušný	decent
specifický	specific
Irák	Iraq
hrozně	awfully
opatrně	carefully
nádraží	railway station
vrhnout	cast
obvinit	blame
odnést	carry
divoký	wild
čaj	tea
titul	title
organismus	organism
postupovat	proceed
vybírat	choose
ovlivňovat	influence
mírně	gently
nahoře	above
proběhnout	run through
hodný	worthy
zajišťovat	provide
královna	queen
kritika	criticism
fakulta	faculty
pořad	agendas
měkký	soft
prozradit	reveal
fronta	queue
poznání	cognition
Kája	Kája
zásah	intervention
omezení	limitations
příbuzný	related
pojištění	insurance
realizace	realization
prach	dust
sexuální	sexual
kombinace	combination
stáhnout	Download
demokratický	democratic
usmívat se	smile
schválit	approve
zájemce	candidates
blok	block
svazek	volume
fotbalista	footballer
skrývat	hide
zvyk	custom
vyhnout	dodge
trať	track
soustředit	focus
komora	chamber
mapa	map
účinný	effective
střed	middle
průzkum	exploration
dovolená	holiday
násilí	violence
současnost	present
zajít	go
košile	shirt
založený	founded
LN	LN
mistrovství	championship
obávat	worry
květ	flower
skladba	composition
sazba	rate
souhlas	agreement
doslova	literally
vyřešit	solve
posílat	sent
naproti	opposite
doklad	document
kapacita	capacity
chladný	cool
zločin	felony
hrob	grave
důvěra	confidence
svátek	feast
umělý	artificial
směs	mix
zaměstnavatel	employer
správní	administrative
obloha	garnish
WWW	WWW
zimní	winter
záznam	record
cz	com
úterý	Tuesday
trestní	criminal
zařadit	classify
dodavatel	contractor
přiblížit	approach
kmen	tribe
soustava	system
klášter	monastery
tiskový	press
bytost	creature
kamenný	stone
křesťanský	Christian
hrdina	hero
kritérium	criterion
provedení	performance
skála	rock
mínit	mean
novina	news
vesmír	space
jádro	core
klobouk	hat
kněz	priest
dole	down
ukončit	terminate
mohutný	massive
plat	salary
prosadit	enforce
obvod	circuit
levný	cheap
ocitnout	find themselves
divit	wonder
částečně	partly
mobilní	mobile
mužstvo	team
zelenina	vegetables
nalézt	find
vládnout	govern
hodnotit	judge
najevo	clear
náhodou	by chance
série	series
dar	gift
rod	genus
individuální	individual
schůzka	meeting
vlastník	owner
mezitím	meanwhile
vybavit	equip
vykřiknout	exclaim
bitva	battle
koukat	watch
tlustý	thick
hluboko	deep
viditelný	visible
ideální	ideal
převážně	predominantly
někam	somewhere
zemědělský	farm
hospoda	pub
podpořit	promote
management	management
mírný	moderate
svědčit	witness
zato	for
ovládat	dominate
efekt	effect
of	of
potravina	foodstuff
mzda	wage
vůdce	leader
jaderný	nuclear
kořen	root
konkurence	competition
polský	Polish
říše	empire
dle	according to
trasa	itinerary
mužský	male
přísný	strict
dospět	grow up
problematika	issue
odhalit	reveal
prohlédnout	inspect
přerušit	interrupt
soulad	harmony
patro	storey
zmínit	mention
vyskytovat se	occur
přenos	transmission
kritický	critical
naprostý	sheer
hromada	pile
chemický	chemical
dočkat	wait
naplnit	fill
poněvadž	because
dav	crowd
proměnit	convert
dvojice	pair
závažný	serious
zbytný	non-essential
budit	draw
odhad	estimate
písek	sand
větev	branch
okres	county
znamení	sign
denní	daily
podél	along
svěřit	entrust
zrcadlo	mirror
Budějovice	Budějovice
hrozný	dreadful
nechávat	leave
sluneční	solar
snášet	suffer
patrný	noticeable
Vídeň	Vienna
choroba	disease
výklad	interpretation
zóna	zone
prohlášení	statement
vyrovnat	settle
vzrůst	increase
podstatně	substantially
sláva	fame
oslava	celebration
horský	mountain
vystoupení	appearance
komerční	commercial
jevit	appear
vynikající	outstanding
pramen	source
vrah	killer
zachytit	catch
rovnou	straight
uvolnit	release
zaměřit	concentrate
zbytečný	wasted
mechanismus	mechanism
překvapení	surprise
vyvolávat	give rise to
rovina	plane
svatba	wedding
klesnout	drop
ústavní	constitutional
rozšíření	extension
prudce	violently
spodní	lower
všeobecný	general
spolupracovat	cooperate
jedině	Only
negativní	negative
premiéra	premiere
hustý	thick
dětství	childhood
hmotnost	weight
profesionální	professional
kalhoty	trousers
platnost	validity
poradit	advise
Karlův	Charles
zvaný	known
varovat	warn
zahlédnout	catch sight
zasmát	laugh
slibovat	promise
prostora	space
zážitek	enjoyment
hospodářství	economy
vyslovit	pronounce
letět	fly
telefonní	phone
oproti	compared to
vyšetřování	investigation
lesní	Forestry
výpověď	notice
uzavřený	closed
sektor	sector
minimální	minimum
popisovat	describe
regionální	regional
správce	administrator
podezření	suspicion
povolení	authorization
sladký	sweet
železný	iron
dokonale	perfectly
obyvatelstvo	population
jednotlivec	single
pravděpodobný	likely
někdejší	former
náboženství	religion
vybavení	equipment
stěžovat	complain
zkoušet	rehearse
málem	nearly
tělesný	physical
získávat	gain
spravedlnost	righteousness
volič	selector
blízkost	nearness
kanál	channel
zajištění	ensuring
podnikání	undertaking
spustit	run
zakázka	commission
překonat	overcome
Vánoce	Christmas
připustit	admit
pokaždé	always
von	out
operační	operating
obrat	turnover
opačný	reverse
dotace	grant
kříž	cross
turnaj	tournament
mořský	marine
předložit	submit
dělit	divide
moment	moment
Julián	Julián
umřít	die
vzápětí	then
zahrát	play
vyhlásit	announce
filozofie	philosophy
zasloužit	deserve
písmeno	letter
dálka	distance
zvést	rumors
zkrátka	shortly
aktuální	current
přikývnout	nod
městečko	town
cyklus	cycle
pověst	reputation
zeman	thane
cestující	passengers
sebrat	pick
vnitro	Interior
počítačový	computer
stanovený	set
hnědý	brown
princ	prince
navzájem	each other
označení	designation
útvar	formation
zábava	entertainment
novinka	news
shromáždění	rally
odvézt	take away
císař	emperor
kočka	cat
tenký	thin
vytvoření	creation
díra	hole
herečka	actress
zdaleka	by far
divize	division
sáhnout	touch
čtrnáct	fourteen
přístav	harbor
trocha	little
břicho	belly
lázeň	bath
maximální	maximal
složit	fold
vědomý	conscious
prohlížet	view
zamířit	aim
let	flight
strop	ceiling
plášť	sheathing
tvrzení	claim
fotbal	football
populární	popular
plánovat	plan
pachatel	offender
plakat	cry
náměstek	deputy
architektura	architecture
porazit	beat
realizovat	implement
hasič	fireman
úmysl	intent
naposledy	last
popis	description
ovoce	fruit
příchod	advent
Zlín	Zlin
příkaz	command
veletrh	fair
výzva	challenge
výnos	return
hlad	hunger
přehled	summary
skládat	compose
tudíž	therefore
publikum	audience
sklenice	jar
věčný	everlasting
Ježíš	Jesus
okolní	surrounding
teta	aunt
odpovídající	appropriate
síň	hall
uznat	recognize
vojsko	army
vánoční	Christmas
základna	base
sehnat	get
vykládat	construe
prohrát	lose
socialistický	socialist
trápit	worry
účinnost	effectiveness
odsoudit	convict
bar	bar
chybit	miss
mládež	youth
obejít	circumvent
ba	nay
nikde	nowhere
tanec	dance
zpočátku	initially
vchod	entrance
závazek	commitment
zdůraznit	emphasize
tvářit	look
dálnice	highway
plátek	slice
jindy	another time
postarat	take care
tuk	fat
odložit	postpone
pořádat	hold
nákladní	Freight
stříbrný	silver
nakrájet	slice
blesk	lightning
podezřelý	suspect
jelikož	as
biskup	bishop
podobat	resembling
vyšetření	examination
expert	expert
ochranný	protective
kg	kg
předvést	demonstrate
agent	agent
statek	farmhouse
strašný	frightful
růžový	pink
včerejší	yesterday
úspěšně	successfully
titulus	titulus
svítit	shine
rostoucí	growing
záviset	depend
pokuta	fine
relativně	comparatively
hledání	search
dělník	worker
teda	therefore
pohnout	move
uniknout	escape
kontrolovat	control
prožít	live through
požár	fire
usadit	settle
mířit	aim
závěrečný	final
květina	flower
prudký	sharp
planeta	planet
tok	flow
citlivý	sensitive
usnout	go to sleep
opravdový	real
detail	detail
římský	Roman
vysvětlení	explanation
přijetí	adoption
překážka	hurdle
OSN	UN
senát	senate
zkoumat	examine
sklad	warehouse
klesat	decline
podnět	stimulus
uspořádání	arrangement
zpěv	singing
pracoviště	workplace
rozpor	rift
právník	lawyer
Řím	Rome
pochybovat	doubt
vybudovat	build
hladký	smooth
bolet	hurt
obdržet	receive
zákaz	ban
zavedení	introduction
směřovat	lead
federální	federal
usilovat	seek
člun	boat
snižovat	lower
kouč	Coach
věrný	faithful
Česko	Czech
dopad	impact
zázrak	miracle
kamera	camera
svědomí	conscience
náčelník	chief
odvaha	courage
architekt	architect
výkonný	executive
písnička	song
budoucno	future
zvítězit	win
vážit	weigh
tendence	trend
nutnost	need
drát	wire
železniční	railway
poezie	poetry
zakázat	prohibit
div	wonder
očekávání	expectations
vedlejší	minor
vysoce	highly
utíkat	run
redakce	editorial staff
uslyšet	hear
vozík	trolley
Ústí	Estuary
nápis	inscription
těžce	heavily
obal	package
pohár	cup
argument	argument
pozadí	background
šedý	gray
dramatický	dramatic
vzbudit	arouse
litovat	regret
skrz	through
anděl	angel
povodeň	flood
španělský	Spanish
heslo	password
včas	on time
veselý	hilarious
komedie	comedy
vyjádření	expression
vrchní	chief
stanovisko	opinion
dostupný	available
náhoda	accident
sýr	cheese
nasadit	put on
in	in
odvolat	appeal
Králová	Králová
omyl	mistake
jednotný	single
přítelkyně	girlfriend
poznatek	finding
řecký	Greek
fanoušek	fan
finále	finals
technologický	technological
duševní	mental
pohádka	tale
zaslechnout	overhear
ČTK	ČTK
výrok	verdict
cestovní	travel
měřit	gauge
zkušený	experienced
nahý	naked
vězeň	prisoner
kupovat	buy
vyměnit	replace
psaní	writing
funkční	functional
družstvo	cooperative
kresba	drawing
podpis	signature
továrna	factory
třikrát	thrice
trávit	digest
vystavit	issue
pistole	gun
mládí	youth
podklad	foundation
přivézt	carry
start	start
těsto	dough
ústřední	central
zadržet	withhold
Miloš	Miloš
rozhodování	decision
zvyklý	accustomed
navrhovat	suggest
šestý	sixth
drama	drama
upravit	adjust
prvý	first
scházet	meet
tvůrce	creator
zasedání	session
album	album
plzeňský	Pilsner
stihnout	catch
opřít	rest
měření	measurement
užitečný	helpful
dopoledne	morning
financování	funding
standardní	standard
kráčet	stride
oblečení	clothing
rozkaz	command
jedenáct	eleven
efektivní	effective
navzdory	despite
mateřský	maternal
zpěvák	singer
četný	numerous
vyzvat	invite
poptávka	demand
vymyslet	invent
jednoznačně	positively
pilot	pilot
vydělat	earn
nárůst	increase
ženská	woman
třebaže	although
privatizace	privatization
seriál	series
odměna	reward
vyvíjet	develop
divný	strange
ložnice	bedroom
sval	muscle
přesvědčení	conviction
marně	in vain
kovový	metal
tržní	market
vyhodit	blow
jemně	gently
omáčka	sauce
beton	concrete
takřka	almost
upozorňovat	alert
podnikatelský	business
vyplatit	pay off
demokrat	democrat
lžička	spoon
koncentrace	concentration
obsadit	occupy
obvinění	accusation
tuna	ton
vyhláška	notice
bytový	residential
ráz	nature
vzorek	sample
plot	fence
poradce	adviser
doprovázet	accompany
umírat	be dying
Československo	Czechoslovakia
naslouchat	listen
houba	fungus
pevnost	strength
vyrůst	grow
zařídit	arrange
prožívat	experience
obrazovka	screen
pozoruhodný	remarkable
sníst	eat
česnek	garlic
populace	population
hradec	hradec
investovat	invest
kapitál	capital
dopředu	forward
vstupní	input
minimálně	at least
otvor	opening
nazvat	call
definovat	define
proniknout	penetrate
určovat	determine
koalice	coalition
prohlídka	tour
hloupý	stupid
I.	I.
naznačovat	denote
sféra	sphere
paprsek	beam
orientace	orientation
přecházet	pass
zemědělství	agriculture
globální	global
ukrást	steal
natáhnout	stretch
ponechat	leave
sedadlo	seat
trouba	oven
kout	nook
týkající	on
zlepšit	enhance
blázen	crazy
kyselina	acid
naznačit	suggest
rus	rus
gesto	gesture
sousední	neighboring
osa	axis
potvrzovat	confirm
školství	education
štáb	staff
potrava	aliment
kov	metal
absolutní	absolute
brzký	early
stadión	stadium
účastnit	participate
odvést	divert
rozumný	reasonable
skočit	jump
nato	on it
uspět	Succeed
výborný	excellent
popřípadě	or
naleznout	find an
uvěřitelný	believable
jenomže	But
lůžko	bed
zahájení	initiation
česko	Czech
plod	fetus
vyjet	start
pláž	beach
takovýto	such
centimetr	centimeter
zanechat	leave
hloubka	depth
následný	follow-up
špinavý	dirty
žid	Jew
novela	short story
odehrát	play
plnění	performance
uspořádat	organize
zranit	hurt
daleký	far
palivo	fuel
stavit	come by
strategický	strategic
důchod	retirement
stan	tent
ulička	alley
nález	finding
hoch	boy
vypadnout	fall out
vyvinout	evolve
NHL	NHL
točit	spin
zavrtět	shake
dárek	gift
rytmus	rhythm
posádka	crew
ČT	CT
falešný	false
desetiletí	decade
obracet	turn
dílna	workshop
pepř	pepper
podotknout	remark
radní	councilor
výstup	output
náhrada	replacement
tepelný	thermal
sex	sex
povolit	permit
dopustit	commit
obecní	municipal
překročit	exceed
vyrobit	produce
hnát	drive
kolej	college
morální	moral
scénář	screenplay
hrozba	threat
výlet	outing
polévka	soup
skleněný	glass
brankář	keeper
hovor	call
akademie	academy
světlý	light
charakteristický	characteristic
poledne	noon
tuzemský	home
proslulý	renowned
senátor	senator
chodník	walkway
měsíční	monthly
přirozeně	naturally
provázet	go along
jednoduše	simply
nakrájený	sliced
plamen	flame
lidstvo	humanity
aspekt	aspect
rozvíjet	develop
odrážet	reflect
parametr	parameter
střílet	shoot
ohrozit	compromise
svah	rise
přihlásit	sign in
zapsat	write
dohled	surveillance
nezaměstnanost	unemployment
živit	nurture
provozní	operating
uplatňovat	exercise
pokyn	instruction
obyčejně	usually
přestávka	break
advokát	lawyer
slavnostní	festive
zastupitelstvo	council
katolický	Catholic
hokejista	hockey player
úcta	esteem
jeskyně	cave
nábytek	furniture
zlobit	annoy
důl	mine
podání	submissions
ručení	liability
vzniklý	formed
inženýr	engineer
přeprava	transportation
ropa	oil
jablko	apple
jeviště	stage
sloup	column
měna	currency
živočich	animal
brýle	eyeglasses
zahynout	perish
Španělsko	Spain
posílit	strengthen
vlastnictví	property
dostatek	enough
úspora	saving
olomoucký	Olomouc
dvacátý	twentieth
vstupovat	enter
vzájemně	mutually
dotýkat	touch
důraz	emphasis
skrytý	hidden
míč	ball
zdůrazňovat	emphasize
poblíž	near
pravděpodobnost	probability
slib	promise
přijatelný	acceptable
postihnout	affect
nenávidět	hate
plukovník	colonel
pronést	interject
salát	salad
moravský	Moravian
porážka	defeat
poškodit	damage
plátno	screen
verš	verse
mínění	opinion
žaludek	stomach
uplatnit	enforce
cvičení	exercises
podruhé	secondly
srovnat	level
dotaz	inquiry
charakteristika	characteristic
povolání	profession
překlad	translation
přednáška	lecture
vyskočit	jump
nepochybně	doubtless
olympijský	Olympic
prázdniny	holidays
řetězec	String
zlepšení	improvement
zveřejnit	published
ranní	morning
vypracovat	develop
volně	freely
zavřený	closed
zvedat	lift
odehrávat	place
respektovat	respect
milenec	lover
čára	line
zlo	evil
zarazit	stop
nemovitost	property
vzdělávání	education
pořídit	buy
vyhovovat	suit
půlnoc	midnight
neboli	or
příloha	annex
tamní	local
dosažení	attainment
publikace	Publications
rozvod	divorce
spis	file
tragedie	Tragedy
vlhký	wet
obránce	defender
logický	logical
mnohdy	sometimes
žádoucí	desirable
užít	enjoy
talíř	plate
pravomoc	competence
dýchat	breathe
šedesát	sixty
obdobný	analogical
směrnice	directive
maska	mask
odhadovat	guess
taška	bag
chalupa	cottage
nařídit	order
propustit	sack
souboj	duel
dědeček	grandfather
ústava	constitution
zvolat	exclaim
hřbitov	cemetery
uvěřit	believe
ohromný	huge
žijící	living
přimět	bring
etapa	phase
shoda	agreement
samota	solitude
bydlení	housing
holčička	baby girl
vztahovat	relate
civilizace	civilization
pásmo	zone
silniční	road
pobočka	branch
řádek	line
nápadný	noticeable
spravedlivý	righteous
nova	nova
oddíl	Section
podrobnost	detail
stolek	table
kapka	drop
výjimečný	exceptional
lampa	lamp
hmotný	physical
zapojit	plug in
masový	mass
mívat	blacking
ocenit	appreciate
výhra	win
kdokoliv	anyone
ztracený	lost
chytrý	clever
odpustit	forgive
získaný	acquired
vyzkoušet	test
hlídat	watch
posléze	then
ušetřit	save
pomalý	slow
zabezpečení	security
nástup	boarding
místopředseda	vice-chairman
prosazovat	assert
vázat	bond
akt	act
očekávaný	expected
kabát	coat
rozsudek	verdict
setkávat	meet
holý	bare
oslovit	address
vidění	vision
výbuch	explosion
lhát	lie
skvrna	stain
pytel	sack
zrak	sight
princezna	princess
přinejmenším	at least
uhlí	coal
pochopení	understanding
pořádný	good
paluba	deck
vykonávat	exercise
kufr	suitcase
bohatství	wealth
přístupný	accessible
zaměřený	focused
potěšit	please
oceán	ocean
hřích	sin
rozšířený	widespread
index	index
pocítit	experience
dovědět	learn
schodiště	staircase
skříň	cupboard
výprava	expedition
charakterizovat	characterize
mlha	fog
natočit	shoot
turistický	tourist
tržba	revenue
vyšetřovatel	investigator
úder	strike
mimořádně	extremely
definitivně	finally
pořadí	order
ledový	iced
příznak	symptom
Špidla	Spidla
tempo	pace
formální	formal
sebevražda	suicide
ha	ha
maximum	maximum
tančit	dance
komentovat	comment
narození	birth
přispívat	contribute
domluvit	agree
stydět	ashamed
čest	honor
nadšení	enthusiasm
katastrofa	disaster
krádež	theft
letoun	airplane
podrobný	detailed
poškození	damage
debata	debate
hokejový	hockey
postavený	built
krabice	boxes
kritik	critic
louka	meadow
pára	steam
zírat	goggle
zemský	earth
kráva	cow
pokrok	progress
sluha	servant
chata	cottage
portrét	portrait
stávající	current
plíce	lungs
uklidnit	soothe
večerní	evening
taneční	dancing
vzhled	appearance
prodejna	shop
dolní	lower
prádlo	clothes
asociace	association
slepý	blind
vášeň	passion
zapálit	ignite
protest	protest
rovnováha	balance
odvětví	branch
cestovat	travel
přenést	transfer
složení	composition
sedmý	seventh
komplex	complex
mrtvola	corpse
komisař	commissioner
otevírat	opening
objednat	order
políbit	kiss
liberecký	liberecký
sklep	cellar
království	kingdom
inspektor	inspector
primátor	Lord Mayor
stanovení	determination
komplexní	complex
doporučit	recommend
psychický	psychic
obnova	restoration
spolek	guild
vize	vision
schovat	hide
děj	action
doplňovat	supplement
potomek	descendant
žaloba	action
církevní	church
legenda	legend
neštěstí	unhappiness
zaznít	heard
kavárna	cafe
laboratoř	lab
mrak	cloud
fantazie	fantasy
bouře	storm
vítat	welcome
zapotřebí	required
útěk	escape
šířit	spread
čtení	reading
koberec	carpet
oděv	clothing
provozovat	run
spolehlivý	reliable
zdravotnictví	Health
poušť	desert
úvod	introduction
každodenní	daily
kouřit	smoke
opírat	lean
koupelna	bathroom
výhradně	only
ráj	paradise
lhůta	deadline
režie	Directing
čelit	counter
terén	terrain
způsobovat	cause
námořní	seagoing
přiznávat	grant
opuštěný	abandoned
talent	talent
posluchač	listener
vlast	country
uniforma	uniform
venkov	country
chráněný	protected
vysílání	broadcasting
zapomínat	forget
vysílat	carry
líto	sorry
NATO	ON IT
post	post
mediální	Media
reprezentace	representation
vila	villa
vztek	rage
procházka	walk
peklo	hell
sklon	slope
kritizovat	criticize
jezdec	rider
lavice	bench
ukládat	store
veřejně	in public
používaný	used
slavnost	celebration
hlasitě	loud
rekord	record
standard	standard
brambora	spud
reklamní	advertising
běh	run
pěst	fist
přehlídka	parade
vyprávění	story
běžně	ordinarily
zjištění	finding
zpracovat	process
Vysoký	High
výpočet	calculation
vyhýbat	avoiding
snídaně	breakfast
tlačit	push
zvyknout	accustom
rozdílný	different
zásluha	merit
spořitelna	savings bank
proměna	transformation
sbírat	collect
iniciativa	initiative
kontext	context
nerv	nerve
spojenec	ally
unavený	weary
milost	reprieve
čistě	cleanly
vystřídat	relieve
lev	lion
mince	coin
nádrž	tank
kterýkoliv	either
nápoj	beverage
rodný	home
utrpení	suffering
zraněný	wounded
spěchat	hurry
prominout	pardon
nádoba	vessel
bledý	pale
líbat	kiss
vypít	drink
osolit	salted
nutně	necessarily
ostře	sharply
integrace	integration
jakkoliv	however
znění	amended
Antonín	Antonín
strážník	officer
zastupitel	councilor
stranou	aside
devadesátý	ninetieth
záření	radiation
milostný	amatory
jarní	spring
intenzívní	intensive
obdivovat	admire
strčit	poke
plánovaný	planned
organizátor	organizer
pochybnost	question
zvolna	slowly
Lukáš	Luke
maximálně	maximally
lézt	climb
kouř	smoke
mokrý	wet
oprávněný	authorized
třást	shake
hořet	burn
uplatnění	use
lokalita	locality
obálka	cover
valný	Valný
výuka	tuition
absolvovat	graduate
utrpět	suffer
opozice	Opposition
vir	Virus
nedělní	Sunday
náhlý	sudden
rozhodčí	referee
pero	pen
ač	though
institut	institute
pěstovat	grow
upadnout	fall
idea	idea
námět	theme
slavit	celebrate
vylézt	climb
obnovit	restore
ustoupit	retreat
kontrolní	control
opouštět	leaving
hrabě	earl
rozdělení	distribution
uplynulý	past
krevní	blood
počínat	act
modlitba	prayer
nízko	low
požadovaný	required
smrtelný	deadly
betonový	Concrete
poštovní	postal
vzadu	back
spolupracovník	co-worker
omezovat	limit
surovina	raw material
kůra	peel
úvodní	opening
hodinky	watch
pohlaví	sex
nynější	present
práh	threshold
kouzlo	magic
hluk	noise
hrdlo	throat
tajemník	secretary
zalít	suffuse
medaile	medal
mez	limit
zatknout	arrest
zápis	writing
krutý	cruel
jednota	unity
mizet	disappear
zbytečně	unnecessarily
protokol	protocol
vynést	bring
získání	acquisition
nenávist	hatred
malba	painting
navázat	establish
šaman	shaman
humor	humor
ostravský	Ostrava
podnikový	corporate
výskyt	occurrence
objev	discovery
organizační	Organizational
ukazatel	pointer
územní	territorial
rybník	pond
likvidace	liquidation
používání	use
vítězný	winning
hromadný	mass
stezka	trail
potok	creek
zbývající	remaining
komunikační	Communications
platební	payment
znova	anew
tkáň	tissue
studium	study
angličtina	English
automaticky	automatically
měřítko	scale
jazykový	language
klín	wedge
lahev	Bottle
šampionát	Championships
výhled	outlook
úžasný	amazing
burza	exchange
snést	endure
záruka	warranty
důkladně	thoroughly
kabinet	cabinet
vyspělý	mature
čestný	honest
jaksi	sort of
orchestr	orchestra
ujistit	reassure
panna	virgin
módní	fashionable
šetřit	save
zrušení	repeal
bomba	bomb
lež	lie
zpěvačka	singer
nařízení	regulation
vyžádat	ask
tramvaj	streetcar
cenový	price
přestávat	subside
radit	advise
představenstvo	Board of Directors
biologický	biological
ocelový	steel
bazén	swimming pool
móda	fashion
donutit	coerce
zákonný	statutory
spoj	link
těsný	close
smutek	sadness
devátý	ninth
psychologický	psychological
izraelský	Israeli
výročí	anniversary
hlídka	patrol
inscenace	productions
měnový	currency
šílený	crazy
stoupnout	rise
průkaz	card
smluvní	contractual
dokumentace	documentation
rozloučit	say goodbye
oznámení	announcement
suma	sum
existující	existing
nazvaný	called
trvale	permanently
zdravotnický	health
raný	early
osmý	eighth
naklonit	tilt
založení	foundation
kostka	cube
trénink	training
opilý	drunk
tuhý	tough
úzkost	anxiety
přínos	benefit
vlákno	fiber
libra	pound
nahlas	aloud
kvalifikace	qualification
nakladatelství	publishing house
ozbrojený	armed
plynout	flow
váhat	hesitate
brada	chin
pohodlný	comfortable
pruh	streak
sahat	reach
střela	missile
tvůrčí	creative
srazit	shrink
šok	shock
zřídit	establish
parta	crew
vytváření	creation
léčit	treat
autorita	authority
mobil	cell phone
navštěvovat	visit
zašeptat	whisper
historik	historian
řídící	directional
stabilita	stability
napůl	half
skok	jump
zmocnit	empower
ujmout	take
výkonnost	efficiency
zastřelit	shoot
předek	forefather
digitální	digital
sestava	Report
specializovaný	Specialized
úhel	angle
obřad	ceremony
poškozený	Corrupted
rušit	disturb
nalít	infuse
palec	thumb
Švejk	Svejk
dění	events
pátrat	search
položka	item
pohledávka	claim
přísně	strictly
kdosi	Who are you
záběr	shot
disciplína	discipline
magistrát	City Hall
všímat	notice
připouštět	conceding
akcionář	shareholder
interiér	interior
obtíž	difficulty
podvod	fraud
konkurenční	competitive
kaple	chapel
projet	ride
přitahovat	attract
kožený	leather
romantický	romantic
Maďarsko	Hungary
zoufalý	desperate
balíček	package
podlehnout	succumb
indický	Indian
vtip	joke
respekt	respect
oficiálně	officially
nesmysl	nonsense
pohoda	contentment
pochopitelný	understandable
upřímně	sincerely
psychologie	psychology
šedesátý	sixtieth
zmatek	confusion
šálek	cup
těleso	body
pult	counter
infekce	infection
přizpůsobit	adapt
ředitelka	directress
údržba	maintenance
způsobený	due to
lehnout	lie down
učitelka	teacher
tradičně	traditionally
přátelství	friendship
líčit	narrate
pokrčit	shrug
výběrový	selective
hluboce	profoundly
moudrý	wise
činitel	factor
odhadnout	estimate
Švýcarsko	Switzerland
malovat	paint
miska	bowl
pití	drinking
diskutovat	debate
potenciál	potential
vajíčko	egg
dovolovat	allowing
logistický	logistic
mráz	frost
oblek	suit
pařížský	Parisian
rozbít	smash
zpětný	reverse
narozeniny	birthday
otcův	his father
zjišťovat	identify
mísa	bowl
doporučení	recommendation
tisknout	press
bezpečně	safely
organizovat	organize
kdežto	while
mechanický	mechanical
definice	definition
desky	Plates
venkovský	country
zákoník	Code
fórum	Forum
optimální	optimum
porušení	violation
ovládnout	dominate
pohřeb	funeral
pravdivý	true
potenciální	potential
věřící	believer
asistent	assistant
rukopis	manuscript
umístění	location
interpretace	interpretation
kauza	case
gymnázium	high school
podzemní	underground
zřetelně	clear
pánev	pan
vlevo	left
zabrat	occupy
analytik	analyst
zdánlivě	ostensibly
kontinent	continent
mimochodem	by the way
střídat	alternate
napít se	drink
obléci	dress
kloub	joint
ukončení	termination
výkřik	outcry
hlasování	voting
doposud	yet
pláč	crying
neustálý	unceasing
pleť	complexion
stranický	partial
zvát	invite
server	Server
vyřídit	deal with
Dvořák	Dvorak
házet	throw
šestnáct	sixteen
postupný	progressive
osmnáct	eighteen
statistika	statistics
písmo	font
inflace	inflation
bezpečí	safety
dokazovat	argue
modlit se	pray
vlk	wolf
legrace	fun
půjčka	loan
stáří	age
štíhlý	slim
vpravo	right
záhy	soon
odvolání	appeal
účetní	accountant
užívání	usage
nejenom	not only
hezky	nicely
oblouk	arch
porovnání	comparison
spotřebitel	consumer
iluze	illusion
uzavírat	conclude
postoupit	to advance
zopakovat	repeat
lákat	lure
strýc	uncle
doopravdy	really
kaplan	chaplain
třináct	thirteen
popadnout	grab
hejtman	governor
prs	breast
stisknout	press
automobilový	motor
nehet	fingernail
kývnout	nod
ukázka	Sample
konkurs	bankruptcy
kníže	prince
roztok	solution
přeložit	translate
spokojenost	satisfaction
ubohý	wretched
schůze	meeting
bezprostřední	close
strhnout	tear down
pokračování	sequel
poslanecký	deputy
čert	devil
čili	or
jedinečný	unique
rajče	tomato
zdarma	free
konto	account
logika	logic
opravit	fix
frekvence	frequency
náhodný	random
pouštět	run
králík	rabbit
seminář	workshop
křižovatka	intersection
plech	sheet
ocel	steel
meč	sword
pardubický	Pardubice
kabina	cabin
kanada	Canada
regulace	regulation
sukně	skirt
téci	flow
kulatý	round
úleva	relief
švédský	Swedish
dlouhodobě	long term
emise	emission
paprika	pepper
složený	composite
propadnout	fail
fotograf	photographer
posunout	move
salón	salon
tunel	tunnel
večírek	party
průvodce	guide
podrobně	in detail
tah	move
skladatel	composer
budovat	construct
izolace	isolation
Novák	Novak
prášek	powder
využívání	exploitation
hospodaření	economy
prapor	ensign
tvrdě	harshly
desátý	tenth
napadat	challenge
zlomit	break
častě	often
nula	zero
panovat	reign
prezentovat	present
radikální	radical
úraz	accident
pořadatel	organizer
středověký	medieval
chudák	wretch
stížnost	complaint
záchranný	rescue
svědectví	witness
pata	heel
přesunout	move
vyslat	dispatch
vyslechnout	hear
hůl	staff
kopie	copy
střelec	shooter
koš	basket
profese	profession
vsadit	wager
náhradní	substitute
hokej	hockey
listina	list
stařec	old man
producent	producer
tragický	tragic
vklad	deposit
ohlásit	announce
transakce	transaction
věznice	jail
bít	beat
